slug,title,published_at,content_origin,content_type,source_present,direct_scope,decision,reason
"electromagnetic-separator-publisher-s-platform-fda-s-byheart-inspection-report-is-finally","Publisher Platform FDA ByHeart: Electromagnetic Separator Selection Notes: Cowinmagnet View","2026-06-17T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-wmw-setting-new-standards-in-scrap-recycling-hudei-metals-leads-india","WMW Setting HUDEI Metals: Recycling Buyers Review Magnetic Separation Needs: Cowinmagnet View","2026-06-17T00:00:00.000Z","","news","true","true","already-noindex-pending-review","legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"electromagnetic-separator-barminco-selects-sandvik-for-23-unit-bellevue-gold-project-fleet","Barminco Sandvik 23-unit Bellevue: Electromagnetic Separator Selection Notes: Cowinmagnet View","2026-06-16T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-bars-components-nestl-removes-all-artificial-food-dyes-from-us-products","Nestl Removes All Artificial: Metal Contamination Control Notes for Processors: Cowinmagnet View","2026-06-16T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-cirba-solutions-collaborates-with-industry-coalition-behind-colorado-s","Cirba Solutions Collaborates Industry: Recycling Buyers Review Magnetic Separation Needs: Cowinmagnet View","2026-06-16T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-prospare-enhance-conveyor-efficiency-at-uk-cement-plant-agg-net","ProSpare Agg-Net: Conveyor Protection Lessons for Quarry Buyers: Cowinmagnet View","2026-06-14T00:00:00.000Z","","news","true","true","already-noindex-pending-review","legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"electromagnetic-separator-indonesia-raids-gold-company-in-1-4b-laundering-probe","Indonesia: Electromagnetic Separator Selection Notes: Cowinmagnet View","2026-06-13T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"electromagnetic-separator-mining-s-next-boom-is-off-the-map-arctic-ice-abyssal-plains-and","Mining Arctic: Magnetic Separation Questions for Mineral Buyers: Cowinmagnet View","2026-06-13T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"electromagnetic-separator-goldmining-pea-outlines-532m-value-10-year-life-for-s-o-jorge-pr","GoldMining PEA 532M 10-year: Electromagnetic Separator Selection Notes: Cowinmagnet View","2026-06-12T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-glencore-to-resume-emissions-spending-at-quebec-smelter","Glencore Quebec: Magnetic Separation Questions for Mineral Buyers: Cowinmagnet View","2026-06-12T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"electromagnetic-separator-mining-m-and-038-a-value-surges-in-q1-but-deal-count-plunges-s-a","Mining 038 038: Electromagnetic Separator Selection Notes: Cowinmagnet View","2026-06-11T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-recycling-entrepreneurs-among-south-african-award-winners","Recycling South African: Recycling Buyers Review Magnetic Separation Needs: Cowinmagnet View","2026-06-10T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-rio-tinto-ramps-up-smelter-with-recycling-tie-in","Rio Tinto: Recycling Buyers Review Magnetic Separation Needs: Cowinmagnet View","2026-06-09T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-elementusa-colorado-school-of-mines-win-67m-award-for-rare-earth-proce","Rare Earth Processing News Signals Magnetic Separation Demand: Cowinmagnet View","2026-06-09T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-stardust-power-joins-doe-backed-lithium-extraction-program","Rare Earth Processing News Signals Magnetic Separation Demand: Cowinmagnet View","2026-06-06T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
"magnetic-separation-commentary-lithium-ion-battery-fire-risks-and-mitigation-across-the-wa","Rare Earth Processing News Signals Magnetic Separation Demand: Cowinmagnet View","2026-06-05T00:00:00.000Z","","news","true","false","already-noindex-pending-review","source-outside-direct-industry-scope; legacy-template-markers:Why It Matters|Industry Perspective|Brand/Product Connection"
